STARTED:[2015-02-16|00:04:47]
[2015-02-16|07:25:19];1;12;Cellcom GN;READY;COM17
[2015-02-16|07:35:38];1;16;Cellcom GN;READY;COM22
[2015-02-16|07:35:40];1;15;Cellcom GN;READY;COM16
[2015-02-16|07:35:40];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:35:43];1;16;Cellcom GN;READY;COM20
[2015-02-16|07:41:09];1;13;Cellcom GN;READY;COM22
[2015-02-16|07:41:10];1;11;Cellcom GN;READY;COM16
[2015-02-16|07:41:11];1;11;Cellcom GN;READY;COM17
[2015-02-16|07:41:13];1;13;Cellcom GN;READY;COM20
[2015-02-16|07:46:39];1;13;Cellcom GN;READY;COM22
[2015-02-16|07:46:41];1;11;Cellcom GN;READY;COM16
[2015-02-16|07:46:42];1;11;Cellcom GN;READY;COM17
[2015-02-16|07:46:44];1;13;Cellcom GN;READY;COM20
[2015-02-16|07:52:09];1;16;Cellcom GN;READY;COM22
[2015-02-16|07:52:11];1;15;Cellcom GN;READY;COM16
[2015-02-16|07:52:12];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:52:14];1;16;Cellcom GN;READY;COM20
[2015-02-16|07:57:39];1;16;Cellcom GN;READY;COM22
[2015-02-16|07:57:41];1;15;Cellcom GN;READY;COM16
[2015-02-16|07:57:42];1;15;Cellcom GN;READY;COM17
[2015-02-16|07:57:45];1;16;Cellcom GN;READY;COM20
[2015-02-16|08:03:09];1;16;Cellcom GN;READY;COM22
[2015-02-16|08:03:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|08:03:13];1;15;Cellcom GN;READY;COM17
[2015-02-16|08:03:15];1;16;Cellcom GN;READY;COM20
[2015-02-16|08:08:40];1;16;Cellcom GN;READY;COM22
[2015-02-16|08:08:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|08:08:43];1;15;Cellcom GN;READY;COM17
[2015-02-16|08:08:45];1;16;Cellcom GN;READY;COM20
[2015-02-16|08:14:10];1;15;Cellcom GN;READY;COM22
[2015-02-16|08:14:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|08:14:13];1;15;Cellcom GN;READY;COM17
[2015-02-16|08:14:15];1;15;Cellcom GN;READY;COM20
[2015-02-16|08:19:40];1;15;Cellcom GN;READY;COM22
[2015-02-16|08:19:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|08:19:43];1;15;Cellcom GN;READY;COM17
[2015-02-16|08:19:45];1;15;Cellcom GN;READY;COM20
[2015-02-16|08:25:10];1;15;Cellcom GN;READY;COM22
[2015-02-16|08:25:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|08:25:13];1;15;Cellcom GN;READY;COM17
[2015-02-16|08:25:16];1;15;Cellcom GN;READY;COM20
[2015-02-16|08:35:40];1;15;Cellcom GN;READY;COM17
[2015-02-16|08:35:41];1;15;Cellcom GN;READY;COM22
[2015-02-16|08:35:42];1;15;Cellcom GN;READY;COM20
[2015-02-16|08:35:42];1;15;Cellcom GN;READY;COM16
